chain,mall_id,n_stores,n_brands,top_categories,mall_name,region,n_unique_brands
waltermart,muntinlupa,39,39,"food choices (17), shops (10), services (6)",WalterMart W.MALL Muntinlupa,metro-manila,2
megaworld,uptown-parade,39,39,"dine (20), services (11), experience (4)",Uptown Parade,metro-manila,26
waltermart,macapagal,38,38,"food choices (15), shops (13), services (4)",WalterMart W.MALL Macapagal,metro-manila,3
sm,smdc-jazz-mall,38,38,"dining (19), hobbies-and-specialty (4), food-beverages (4)",SMDC Jazz Mall,metro-manila,5
megaworld,mckinley-west,38,34,"dine (21), services (12), shop (5)",McKinley West,metro-manila,13
waltermart,san-jose,38,38,"shops (13), food choices (12), cybermart (8)",WalterMart San Jose,north-luzon,0
sm,sm-cherry-antipolo,38,38,"dining (11), shopping (9), services (4)",SM Center Antipolo Downtown,metro-manila,13
sm,sm-cherry-shaw,37,36,"dining (14), wellness (9), hobbies-and-specialty (4)",SM Center Shaw,metro-manila,12
megaworld,lucky-chinatown-imperial-wing,37,37,"dine (24), services (10), shop (3)",Lucky Chinatown - Imperial Wing,metro-manila,18
ortigas,the-strip,36,22,"shop (12), dining (10), bank (1)",The Strip,metro-manila,13
ayala,ayala-serendra,34,33,"dine (17), essentials (7), services (5)",Shops at Serendra,metro-manila,12
megaworld,alabang-west-parade,33,33,"dine (18), services (8), shop (7)",Alabang West Parade,metro-manila,23
robinsons,robinsons-luisita,33,30,,Robinsons Luisita,north-luzon,8
megaworld,paseo-center,33,33,"dine (23), shop (5), services (5)",Paseo Center,metro-manila,8
robinsons,robinsons-tagaytay,32,30,,Robinsons Tagaytay,south-luzon,9
waltermart,candelaria,31,31,"food choices (13), cybermart (12), shops (4)",WalterMart Candelaria,south-luzon,5
sm,moa-square,30,30,"shopping (11), dining (11), home (4)",MOA Square,metro-manila,15
megaworld,arcovia-city,29,29,"dine (21), shop (4), services (4)",Arcovia City,metro-manila,8
waltermart,cabuyao,28,28,"food choices (16), shops (5), services (3)",WalterMart Cabuyao,south-luzon,3
sm,smdc-mplace-mall,28,28,"dining (8), wellness (5), shopping (4)",SMDC Mplace Mall,metro-manila,8
megaworld,greenhouse-village-square,27,27,"services (11), dine (11), shop (5)",The Greenhouse at Village Square,metro-manila,11
waltermart,capas,27,27,"food choices (10), shops (7), cybermart (5)",WalterMart Capas,north-luzon,1
filinvest,dumaguete,27,27,"dining / food (kiosk / carts) (6), dining (5), telecoms / computers / electronics (5)",Filinvest Malls Dumaguete,visayas,10
sm,sm-cherry-congressional,25,25,"dining (7), wellness (6), hobbies-and-specialty (6)",SM Center Congressional,metro-manila,1
sm,smdc-strip-at-mezza,25,25,"dining (14), wellness (5), hobbies-and-specialty (3)",SMDC Strip at Mezza,metro-manila,4
robinsons,robinsons-cybergate-davao,24,24,,Robinsons Cybergate Davao,mindanao,10
sm,smdc-sun-mall,24,24,"wellness (7), hobbies-and-specialty (4), dining (4)",SMDC Sun Mall,metro-manila,4
sm,sm-savemore-apalit,23,23,"cyberzone (9), shopping (6), dining (6)",SM Savemore Apalit,north-luzon,2
sm,smdc-fame-mall,23,23,"dining (9), services (4), groceries (3)",SMDC Fame Mall,metro-manila,8
sm,smdc-grace-mall,23,23,"dining (12), wellness (6), hobbies-and-specialty (2)",SMDC Grace Mall,metro-manila,5
sm,smdc-air-mall,23,23,"dining (12), wellness (6), services (3)",SMDC Air Mall,metro-manila,9
waltermart,the-junction,23,23,"shops (7), food choices (7), cybermart (5)",WalterMart The Junction,metro-manila,2
waltermart,batangas-city,22,22,"food choices (10), shops (7), cybermart (3)",WalterMart Batangas City,south-luzon,0
waltermart,carmona,21,21,"food choices (10), shops (6), wellness (3)",WalterMart Carmona,south-luzon,2
sm,sm-savemore-nagtahan,21,19,"dining (6), cyberzone (5), wellness (3)",SM Savemore Nagtahan,metro-manila,2
filinvest,il-corso,19,19,"dining (15), health, beauty and wellness (4)",IL Corso,visayas,14
robinsons,the-plaza,19,19,"dine (11), shop (7), recharge (1)",The Plaza Bagong Silang,metro-manila,2
waltermart,sta-rosa-bel-air,17,17,"food choices (9), shops (4), services (2)",WalterMart Sta. Rosa Bel-Air,south-luzon,1
sm,smdc-strip-at-grass,17,17,"dining (7), wellness (4), hobbies-and-specialty (3)",SMDC Strip at Grass,metro-manila,5
sm,sm-hypermarket-sucat-lopez,16,16,"dining (9), cyberzone (2), atm (1)",SM Hypermarket Sucat Lopez,metro-manila,2
sm,sm-marketmall-dasmarinas,16,16,"shopping (4), dining (3), cyberzone (3)",SM Marketmall Dasmarinas,south-luzon,6
megaworld,twin-lakes,16,15,"dine (12), services (3), shop (1)",Twin Lakes,south-luzon,3
waltermart,talavera,15,15,"shops (4), food choices (4), cybermart (4)",WalterMart Talavera,north-luzon,0
sm,smdc-strip-at-sea,15,15,"hobbies-and-specialty (4), wellness (4), dining (4)",SMDC Strip at Sea,metro-manila,5
sm,smdc-strip-at-shore,15,15,"dining (7), wellness (4), hobbies-and-specialty (2)",SMDC Strip at Shore,metro-manila,8
megaworld,clubhouse-temple-drive,14,14,"dine (6), services (5), shop (3)",The Clubhouse at Temple Drive,metro-manila,6
megaworld,three-central,14,14,"services (7), dine (4), shop (3)",Three Central Mall,metro-manila,6
sm,sm-hypermarket-lapulapu,13,13,"dining (5), wellness (3), cyberzone (2)",SM Hypermarket Lapu-Lapu,visayas,1
sm,smdc-breeze-mall,11,11,"hobbies-and-specialty (3), wellness (2), dining (2)",SMDC Breeze Mall,metro-manila,7
starmall,talisay,10,10,"dining (5), shopping (3), services (2)",Starmall Talisay Cebu,visayas,2
sm,nu-mall-of-asia-building,9,9,"dining (5), groceries (1), entertainment (1)",NU MALL OF ASIA BUILDING,metro-manila,6
sm,wind-residences,8,8,"hobbies-and-specialty (2), dining (2), groceries (1)",Wind Residences,south-luzon,0
sm,mall-of-asia-arena-annex-bldg,7,7,"dining (5), groceries (1), hobbies-and-specialty (1)",Mall Of Asia Arena Annex Bldg,metro-manila,0
sm,smdc-strip-at-trees,7,7,"dining (4), groceries (1), wellness (1)",SMDC Strip at Trees,metro-manila,2
sm,smdc-green-mall,6,6,"dining (4), shopping (1), wellness (1)",SMDC Green Mall,metro-manila,0
sm,smdc-strip-at-blue,5,5,"hobbies-and-specialty (3), dining (1), wellness (1)",SMDC Strip at Blue,metro-manila,2
sm,smdc-strip-at-shell,5,5,"groceries (2), atm (1), dining (1)",SMDC Strip at Shell,metro-manila,2
sm,smdc-strip-at-princeton,4,4,"groceries (1), hobbies-and-specialty (1), atm (1)",SMDC Strip at Princeton,metro-manila,1
sm,smdc-strip-at-berkeley,2,2,"atm (1), shopping (1)",SMDC Strip at Berkeley,metro-manila,0
sm,smdc-strip-at-shine,2,2,"groceries (1), wellness (1)",SMDC Strip at Shine,metro-manila,1
sm,sky-ranch-baguio,1,1,entertainment (1),Sky Ranch Baguio,north-luzon,0
sm,sky-ranch-pampanga,1,1,entertainment (1),Sky Ranch Pampanga,north-luzon,0
sm,sky-ranch-tagaytay,1,1,entertainment (1),Sky Ranch Tagaytay,south-luzon,0
sm,smby-amusement-park,1,1,entertainment (1),SMBY Amusement Park,,1
waltermart,altaraza,1,1,shops (1),WalterMart Altaraza,,0
